Year,Stage,Stadium,City,Home Team Name,Away Team Name,Attendance,Referee,Assistant 1,Assistant 2,Home_team_won 
1930,Group 1,Pocitos,Montevideo ,France,Mexico,4444,LOMBARDI Domingo (URU),CRISTOPHE Henry (BEL),REGO Gilberto (BRA),1
1930,Group 4,Parque Central,Montevideo ,USA,Belgium,18346,MACIAS Jose (ARG),MATEUCCI Francisco (URU),WARNKEN Alberto (CHI),1
1930,Group 2,Parque Central,Montevideo ,Yugoslavia,Brazil,24059,TEJADA Anibal (URU),VALLARINO Ricardo (URU),BALWAY Thomas (FRA),1
1930,Group 3,Pocitos,Montevideo ,Romania,Peru,2549,WARNKEN Alberto (CHI),LANGENUS Jean (BEL),MATEUCCI Francisco (URU),1
1930,Group 1,Parque Central,Montevideo ,Argentina,France,23409,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),RADULESCU Constantin (ROU),1
1930,Group 1,Parque Central,Montevideo ,Chile,Mexico,9249,CRISTOPHE Henry (BEL),APHESTEGUY Martin (URU),LANGENUS Jean (BEL),1
1930,Group 2,Parque Central,Montevideo ,Yugoslavia,Bolivia,18306,MATEUCCI Francisco (URU),LOMBARDI Domingo (URU),WARNKEN Alberto (CHI),1
1930,Group 4,Parque Central,Montevideo ,USA,Paraguay,18306,MACIAS Jose (ARG),APHESTEGUY Martin (URU),TEJADA Anibal (URU),1
1930,Group 3,Estadio Centenario,Montevideo ,Uruguay,Peru,57735,LANGENUS Jean (BEL),BALWAY Thomas (FRA),CRISTOPHE Henry (BEL),1
1930,Group 1,Estadio Centenario,Montevideo ,Chile,France,2000,TEJADA Anibal (URU),LOMBARDI Domingo (URU),REGO Gilberto (BRA),1
1930,Group 1,Estadio Centenario,Montevideo ,Argentina,Mexico,42100,SAUCEDO Ulises (BOL),ALONSO Gualberto (URU),RADULESCU Constantin (ROU),1
1930,Group 2,Estadio Centenario,Montevideo ,Brazil,Bolivia,25466,BALWAY Thomas (FRA),MATEUCCI Francisco (URU),VALLEJO Gaspar (MEX),1
1930,Group 4,Estadio Centenario,Montevideo ,Paraguay,Belgium,12000,VALLARINO Ricardo (URU),MACIAS Jose (ARG),LOMBARDI Domingo (URU),1
1930,Group 3,Estadio Centenario,Montevideo ,Uruguay,Romania,70022,REGO Gilberto (BRA),WARNKEN Alberto (CHI),SAUCEDO Ulises (BOL),1
1930,Group 1,Estadio Centenario,Montevideo ,Argentina,Chile,41459,LANGENUS Jean (BEL),CRISTOPHE Henry (BEL),SAUCEDO Ulises (BOL),1
1930,Semi-finals,Estadio Centenario,Montevideo ,Argentina,USA,72886,LANGENUS Jean (BEL),VALLEJO Gaspar (MEX),WARNKEN Alberto (CHI),1
1930,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,Yugoslavia,79867,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),BALWAY Thomas (FRA),1
1930,Final,Estadio Centenario,Montevideo ,Uruguay,Argentina,68346,LANGENUS Jean (BEL),SAUCEDO Ulises (BOL),CRISTOPHE Henry (BEL),1
1934,Preliminary round,Stadio Benito Mussolini,Turin ,Austria,France,16000,VAN MOORSEL Johannes (NED),CAIRONI Camillo (ITA),BAERT Louis (BEL),1
1934,Preliminary round,Giorgio Ascarelli,Naples ,Hungary,Egypt,9000,BARLASSINA Rinaldo (ITA),DATTILO Generoso (ITA),SASSI Otello (ITA),1
1934,Preliminary round,San Siro,Milan ,Switzerland,Netherlands,33000,EKLIND Ivan (SWE),BERANEK Alois (AUT),BONIVENTO Ferruccio (ITA),1
1934,Preliminary round,Littorale,Bologna ,Sweden,Argentina,14000,BRAUN Eugen (AUT),CARRARO Albino (ITA),TURBIANI Giuseppe (ITA),1
1934,Preliminary round,Giovanni Berta,Florence ,Germany,Belgium,8000,MATTEA Francesco (ITA),MELANDRI Ermenegildo (ITA),BAERT Jacques (FRA),1
1934,Preliminary round,Luigi Ferraris,Genoa ,Spain,Brazil,21000,BIRLEM Alfred (GER),CARMINATI Ettore (ITA),IVANCSICS Mihaly (HUN),1
1934,Preliminary round,Nazionale PNF,Rome ,Italy,USA,25000,MERCET Rene (SUI),ESCARTIN Pedro (ESP),ZENISEK Bohumil (TCH),1
1934,Preliminary round,Littorio,Trieste ,Czechoslovakia,Romania,9000,LANGENUS Jean (BEL),SCARPI Giuseppe (ITA),SCORZONI Raffaele (ITA),1
1934,Quarter-finals,Stadio Benito Mussolini,Turin ,Czechoslovakia,Switzerland,12000,BERANEK Alois (AUT),MOHAMED Youssuf (EGY),BAERT Jacques (FRA),1
1934,Quarter-finals,San Siro,Milan ,Germany,Sweden,3000,BARLASSINA Rinaldo (ITA),MERCET Rene (SUI),VAN MOORSEL Johannes (NED),1
1934,Quarter-finals,Giovanni Berta,Florence ,Italy,Spain,35000,BAERT Louis (BEL),ZENISEK Bohumil (TCH),IVANCSICS Mihaly (HUN),0
1934,Quarter-finals,Littorale,Bologna ,Austria,Hungary,23000,MATTEA Francesco (ITA),ESCARTIN Pedro (ESP),BIRLEM Alfred (GER),1
1934,Quarter-finals,Giovanni Berta,Florence ,Italy,Spain,43000,MERCET Rene (SUI),IVANCSICS Mihaly (HUN),ZENISEK Bohumil (TCH),1
1934,Semi-finals,San Siro,Milan ,Italy,Austria,35000,EKLIND Ivan (SWE),BAERT Louis (BEL),ZENISEK Bohumil (TCH),1
1934,Semi-finals,Nazionale PNF,Rome ,Czechoslovakia,Germany,15000,BARLASSINA Rinaldo (ITA),BERANEK Alois (AUT),ESCARTIN Pedro (ESP),1
1934,Match for third place,Giorgio Ascarelli,Naples ,Germany,Austria,7000,CARRARO Albino (ITA),CAIRONI Camillo (ITA),ESCARTIN Pedro (ESP),1
1934,Final,Nazionale PNF,Rome ,Italy,Czechoslovakia,55000,EKLIND Ivan (SWE),BAERT Louis (BEL),IVANCSICS Mihaly (HUN),1
1938,First round,Parc des Princes,Paris ,Switzerland,Germany,27152,LANGENUS Jean (BEL),MARENCO Paul (FRA),VAN MOORSEL Johannes (NED),0
1938,First round,Velodrome Municipale,Reims ,Hungary,Dutch East Indies,9000,CONRIE Roger (FRA),DE LA SALLE Charles (FRA),WEINGARTNER Karl (AUT),1
1938,First round,Stade Olympique,Colombes ,France,Belgium,30454,WUETHRICH Hans (SUI),KRIST Gustav (TCH),BIRLEM Alfred (GER),1
1938,First round,Stade Municipal,Toulouse ,Cuba,Romania,7000,SCARPI Giuseppe (ITA),VALPREDE Ferdinand (FRA),MERKCX Jean (FRA),0
1938,First round,Stade V¥Ë_lodrome,Marseilles ,Italy,Norway,19000,BERANEK Alois (AUT),BOUTOURE D. (FRA),TREHOU D. (FRA),1
1938,First round,Stade de la Meinau,Strasbourg ,Brazil,Poland,13452,EKLIND Ivan (SWE),POISSANT Louis (FRA),KISSENBERGER Ernest (FRA),1
1938,First round,Cavee Verte,Le Havre ,Czechoslovakia,Netherlands,11000,LECLERCQ Lucien (FRA),OLIVE D. (FRA),SDEZ Victor (FRA),1
1938,First round,Stade Municipal,Toulouse ,Cuba,Romania,8000,BIRLEM Alfred (GER),CAPDEVILLE Pierre (FRA),MARENCO Paul (FRA),1
1938,First round,Parc des Princes,Paris ,Switzerland,Germany,20025,EKLIND Ivan (SWE),BAERT Louis (BEL),VAN MOORSEL Johannes (NED),1
1938,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,Czechoslovakia,22021,VON HERTZKA Pal (HUN),SCARPI Giuseppe (ITA),DE LA SALLE Charles (FRA),0
1938,Quarter-finals,Victor Boucquey,Lille ,Hungary,Switzerland,15000,BARLASSINA Rinaldo (ITA),BERANEK Alois (AUT),BOUTOURE D. (FRA),1
1938,Quarter-finals,Fort Carree,Antibes ,Sweden,Cuba,7000,KRIST Gustav (TCH),WEINGARTNER Karl (AUT),SDEZ Victor (FRA),1
1938,Quarter-finals,Stade Olympique,Colombes ,Italy,France,58455,BAERT Louis (BEL),WUETHRICH Hans (SUI),EKLIND Ivan (SWE),1
1938,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,Czechoslovakia,18141,CAPDEVILLE Georges (FRA),MARENCO Paul (FRA),KISSENBERGER Ernest (FRA),1
1938,Semi-finals,Parc des Princes,Paris ,Hungary,Sweden,20000,LECLERCQ Lucien (FRA),VAN MOORSEL Johannes (NED),SCARPI Giuseppe (ITA),1
1938,Semi-finals,Stade V¥Ë_lodrome,Marseilles ,Italy,Brazil,33000,WUETHRICH Hans (SUI),BERANEK Alois (AUT),MARENCO Paul (FRA),1
1938,Match for third place,Stade du Parc Lescure,Bordeaux ,Brazil,Sweden,12000,LANGENUS Jean (BEL),OLIVE D. (FRA),VALPREDE Ferdinand (FRA),1
1938,Final,Stade Olympique,Colombes ,Italy,Hungary,45000,CAPDEVILLE Georges (FRA),WUETHRICH Hans (SUI),KRIST Gustav (TCH),1
1950,Group 1,Maracan¥Ë_ - Est¥Ë_dio Jornalista M¥Ë_rio Filho,Rio De Janeiro ,Brazil,Mexico,81649,READER George (ENG),GRIFFITHS Benjamin (WAL),MITCHELL George (SCO),1
1950,Group 2,Maracan¥Ë_ - Est¥Ë_dio Jornalista M¥Ë_rio Filho,Rio De Janeiro ,England,Chile,29703,VAN DER MEER Karel (NED),GARDELLI Mario (BRA),DAHLNER Gunnar (SWE),1
1950,Group 2,Durival de Brito,Curitiba ,Spain,USA,9511,VIANA Mario (BRA),DA COSTA VIEIRA Jose (POR),DE LA SALLE Charles (FRA),1
1950,Group 3,Pacaembu,Sao Paulo ,Sweden,Italy,36502,LUTZ Jean (SUI),BERANEK Alois (AUT),TEJADA Carlos (MEX),1
1950,Group 1,Independencia,Belo Horizonte ,Yugoslavia,Switzerland,7336,GALEATI Giovanni (ITA),EKLIND Ivan (SWE),DATTILO Generoso (ITA),1
1950,Group 1,Pacaembu,Sao Paulo ,Brazil,Switzerland,42032,AZON ROMA Ramon (ESP),BUSTAMANTE Sergio (CHI),DE NICOLA Cayetano (PAR),0
1950,Group 1,Eucaliptos,Porto Alegre ,Yugoslavia,Mexico,11078,LEAFE Reginald (ENG),DAHLNER Gunnar (SWE),VAN DER MEER Karel (NED),1
1950,Group 2,Maracan¥Ë_ - Est¥Ë_dio Jornalista M¥Ë_rio Filho,Rio De Janeiro ,Spain,Chile,19790,MALCHER Alberto (BRA),MARINO Esteban (URU),ALVAREZ Alfredo (BOL),1
1950,Group 3,Durival de Brito,Curitiba ,Sweden,Paraguay,7903,MITCHELL Robert (SCO),LEMESIC Leo (YUG),GARCIA Prudencio (USA),0
1950,Group 2,Independencia,Belo Horizonte ,USA,England,10151,DATTILO Generoso (ITA),DE LA SALLE Charles (FRA),GALEATI Giovanni (ITA),1
1950,Group 1,Maracan¥Ë_ - Est¥Ë_dio Jornalista M¥Ë_rio Filho,Rio De Janeiro ,Brazil,Yugoslavia,142429,GRIFFITHS Benjamin (WAL),BERANEK Alois (AUT),DA COSTA VIEIRA Jose (POR),1
1950,Group 2,Maracan¥Ë_ - Est¥Ë_dio Jornalista M¥Ë_rio Filho,Rio De Janeiro ,Spain,England,74462,GALEATI Giovanni (ITA),LUTZ Jean (SUI),DATTILO Generoso (ITA),1
1950,Group 3,Pacaembu,Sao Paulo ,Italy,Paraguay,25811,ELLIS Arthur (ENG),GARCIA Prudencio (USA),DE LA SALLE Charles (FRA),1
1950,Group 4,Independencia,Belo Horizonte ,Uruguay,Bolivia,5284,READER George (ENG),VIANA Mario (BRA),LEMESIC Leo (YUG),1
1950,Group 1,Eucaliptos,Porto Alegre ,Switzerland,Mexico,3580,EKLIND Ivan (SWE),DAHLNER Gunnar (SWE),BUSTAMANTE Sergio (CHI),1
1950,Group 2,Ilha do Retiro,Recife ,Chile,USA,8501,GARDELLI Mario (BRA),HEYEN Mario Ruben (PAR),ALVAREZ Alfredo (BOL),1
1950,Group 6,Pacaembu,Sao Paulo ,Uruguay,Spain,44802,GRIFFITHS Benjamin (WAL),DATTILO Generoso (ITA),ALVAREZ Alfredo (BOL),0
1950,Group 6,Maracan¥Ë_ - Est¥Ë_dio Jornalista M¥Ë_rio Filho,Rio De Janeiro ,Brazil,Sweden,138886,ELLIS Arthur (ENG),GARCIA Prudencio (USA),DE LA SALLE Charles (FRA),1
1950,Group 6,Maracan¥Ë_ - Est¥Ë_dio Jornalista M¥Ë_rio Filho,Rio De Janeiro ,Brazil,Spain,152772,LEAFE Reginald (ENG),MITCHELL George (SCO),DA COSTA VIEIRA Jose (POR),1
1950,Group 6,Pacaembu,Sao Paulo ,Uruguay,Sweden,7987,GALEATI Giovanni (ITA),BERANEK Alois (AUT),DE NICOLA Cayetano (PAR),1
1950,Group 6,Pacaembu,Sao Paulo ,Sweden,Spain,11227,VAN DER MEER Karel (NED),LUTZ Jean (SUI),GARCIA Prudencio (USA),1
1950,Group 6,Maracan¥Ë_ - Est¥Ë_dio Jornalista M¥Ë_rio Filho,Rio De Janeiro ,Uruguay,Brazil,173850,READER George (ENG),ELLIS Arthur (ENG),MITCHELL George (SCO),1
1954,Group 3,Wankdorf Stadium,Berne ,Uruguay,Czechoslovakia,20500,ELLIS Arthur (ENG),LING William (ENG),SCHICKER Werner (SUI),1
1954,Group 3,Hardturm,Zurich ,Austria,Scotland,25000,FRANKEN Laurent (BEL),VIANA Mario (BRA),GULDE Josef (SUI),1
1954,Group 1,Charmilles,Geneva ,Brazil,Mexico,13470,WYSSLING Paul (SUI),SCHONHOLZER Ernest (SUI),DA COSTA VIEIRA Jose (POR),1
1954,Group 1,La Pontaise,Lausanne ,Yugoslavia,France,16000,GRIFFITHS Benjamin (WAL),BAUMBERGER Rene (SUI),ASENSI Manuel (ESP),1
1954,Group 2,Wankdorf Stadium,Berne ,Germany FR,Turkey,28000,DA COSTA VIEIRA Jose (POR),ZSOLT Istvan (HUN),MERLOTTI Armand (SUI),1
1954,Group 2,Hardturm,Zurich ,Hungary,Korea Republic,13000,VINCENTI Raymond (FRA),VON GUNTER Albert (SUI),STEINER Carl (AUT),1
1954,Group 4,St. Jakob,Basel ,England,Belgium,14000,SCHMETZER Emil (FRG),BUCHMUELLER Fritz (SUI),RUFFLI Willy (SUI),0
